timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 21:26:34.941, 0, 95830, 0,130292
2026/09/02 21:26:50.027, 17191, 95830, 0,2029848
2026/09/02 21:27:05.106, 17191, 95830, 0,4887368
2026/09/02 21:27:20.194, 17191, 95830, 0,2183460
2026/09/02 21:27:35.275, 17191, 95830, 0,2260924
2026/09/02 21:27:50.352, 17191, 95830, 0,2314120
2026/09/02 21:28:05.435, 17191, 95830, 0,3763332
2026/09/02 21:28:20.515, 17191, 95830, 0,3917036
2026/09/02 21:28:35.596, 17191, 95830, 0,6119712
2026/09/02 21:28:50.683, 17191, 95830, 0,5658100
2026/09/02 21:29:05.773, 17191, 95830, 0,4717568
2026/09/02 21:29:20.865, 21191, 95830, 0,5569456
2026/09/02 21:29:35.953, 21191, 95830, 0,3583168
2026/09/02 21:29:51.047, 21191, 95830, 0,3158508
2026/09/02 21:30:06.129, 21191, 95830, 0,2801260
2026/09/02 21:30:21.205, 21191, 95830, 0,2833684
2026/09/02 21:30:36.279, 21191, 95830, 0,5849420
2026/09/02 21:30:51.357, 21191, 95830, 0,2958384
2026/09/02 21:31:06.432, 21191, 95830, 0,3026816
2026/09/02 21:31:21.483, 21191, 95830, 0,5498620
2026/09/02 21:31:36.533, 38379, 95830, 0,6809120
2026/09/02 21:31:51.587, 38379, 95830, 0,4531156
2026/09/02 21:32:06.642, 38379, 95830, 0,3117172
2026/09/02 21:32:21.694, 38379, 95830, 0,7083396
2026/09/02 21:32:36.737, 38379, 95830, 0,3310656
2026/09/02 21:32:51.788, 38379, 95830, 0,4014440
2026/09/02 21:33:06.841, 38379, 95830, 0,3433568
2026/09/02 21:33:21.885, 38379, 95830, 0,6083240
2026/09/02 21:33:36.930, 42379, 95830, 0,3547240
2026/09/02 21:33:51.974, 42379, 95830, 0,6170544
2026/09/02 21:34:07.025, 42379, 95830, 0,3404056
2026/09/02 21:34:22.071, 42379, 95830, 0,7083224
2026/09/02 21:34:37.123, 42379, 95830, 0,3507016
2026/09/02 21:34:52.170, 42379, 95830, 0,5772552
2026/09/02 21:35:07.218, 42379, 95830, 0,3658712
2026/09/02 21:35:22.265, 42379, 95830, 0,6407784
2026/09/02 21:35:37.314, 42379, 95830, 0,3757220
2026/09/02 21:35:52.361, 42379, 95830, 0,4037936
2026/09/02 21:36:07.432, 42379, 95830, 37,3950956
2026/09/02 21:36:22.508, 42379, 95830, 0,3583372
2026/09/02 21:36:37.579, 42379, 95830, 0,3705472
2026/09/02 21:36:52.654, 42379, 95830, 0,3704920
2026/09/02 21:37:07.728, 42379, 95830, 0,6498540
2026/09/02 21:37:22.773, 42379, 95830, 0,3900352
2026/09/02 21:37:37.821, 42379, 95830, 0,4027256
2026/09/02 21:37:52.896, 42379, 95830, 0,5818000
2026/09/02 21:38:07.972, 42379, 95830, 14,4144768
2026/09/02 21:38:23.049, 42379, 95830, 0,4065800
2026/09/02 21:38:38.128, 42379, 95830, 0,3770960
2026/09/02 21:38:53.193, 42379, 95830, 0,5208804
2026/09/02 21:39:08.272, 42379, 95830, 0,3909920
2026/09/02 21:39:23.341, 42379, 95830, 0,7119152
2026/09/02 21:39:38.386, 42379, 95830, 0,6822092
2026/09/02 21:39:53.434, 42379, 95830, 0,4153596
2026/09/02 21:40:08.508, 42379, 95830, 0,4163800
2026/09/02 21:40:23.587, 42379, 95830, 67,3983516
2026/09/02 21:40:38.641, 42379, 95830, 0,4053624
2026/09/02 21:40:53.709, 42379, 95830, 0,6894160
2026/09/02 21:41:08.779, 42379, 95830, 0,4226100
2026/09/02 21:41:23.846, 42379, 95830, 0,4274948
2026/09/02 21:41:38.892, 42379, 95830, 0,7253088
2026/09/02 21:41:53.961, 42379, 95830, 0,6084780
2026/09/02 21:42:09.036, 42379, 95830, 0,4492464
2026/09/02 21:42:24.113, 42379, 95830, 56,4871068
2026/09/02 21:42:39.182, 42379, 95830, 0,7827908
2026/09/02 21:42:54.255, 42379, 95830, 0,7063840
2026/09/02 21:43:09.327, 42379, 95830, 0,7058436
2026/09/02 21:43:24.399, 42379, 95830, 0,7423224
2026/09/02 21:43:39.475, 42379, 95830, 0,4668260
2026/09/02 21:43:54.551, 42379, 95830, 0,4790272
2026/09/02 21:44:09.601, 42379, 95830, 0,8881232
2026/09/02 21:44:24.673, 42379, 95830, 33,4974836
2026/09/02 21:44:39.721, 42379, 95830, 0,4609256
2026/09/02 21:44:54.768, 42379, 95830, 0,4699940
2026/09/02 21:45:09.836, 42379, 95830, 0,8384104
2026/09/02 21:45:24.908, 42379, 95830, 0,6247280
2026/09/02 21:45:39.976, 42379, 95830, 0,4867996
2026/09/02 21:45:55.042, 42379, 95830, 0,8391828
2026/09/02 21:46:10.111, 42379, 95830, 0,7486836
2026/09/02 21:46:25.189, 42379, 95830, 0,5078696
2026/09/02 21:46:40.272, 42379, 95830, 15,5050416
2026/09/02 21:46:55.353, 42379, 95830, 86,5276968
2026/09/02 21:47:10.427, 42379, 95830, 0,9162300
2026/09/02 21:47:25.506, 42379, 95830, 0,4948316
2026/09/02 21:47:40.581, 42379, 95830, 0,6980544
2026/09/02 21:47:55.651, 42379, 95830, 0,4991916
2026/09/02 21:48:10.699, 42379, 95830, 0,7646372
2026/09/02 21:48:25.767, 42379, 95830, 0,9360416
2026/09/02 21:48:40.839, 42379, 95830, 0,5360560
2026/09/02 21:48:55.914, 42379, 95830, 0,9016192
2026/09/02 21:49:10.993, 42379, 95830, 0,4926984
2026/09/02 21:49:26.064, 42379, 95830, 0,4949532
2026/09/02 21:49:41.136, 42379, 95830, 0,5058408
2026/09/02 21:49:56.212, 42379, 95830, 0,5092564
2026/09/02 21:50:11.286, 42379, 95830, 0,6608360
2026/09/02 21:50:26.353, 42379, 95830, 0,8132920
2026/09/02 21:50:41.428, 42379, 95830, 0,5340116
