ADMM_START rows=743 columns=12248 nnz=5605870 rounds=5 max_iterations=2000 rho=100000000.0
ADMM_ITER round=0/4 iteration=825/2000 objective=1.9197083077148574e-05 r=2.36835e-10/1.10671e-08 s=0.0233115/6.0324e-07 projection_inf=6.83768e-19 support=1122/12248
ADMM_ITER round=0/4 iteration=850/2000 objective=1.9196988410926667e-05 r=2.04919e-10/1.10671e-08 s=0.0243039/6.03333e-07 projection_inf=6.24932e-19 support=1119/12248
ADMM_ITER round=0/4 iteration=875/2000 objective=1.9197497921786653e-05 r=2.03084e-10/1.10671e-08 s=0.0227561/6.03298e-07 projection_inf=6.55448e-19 support=1121/12248
ADMM_ITER round=0/4 iteration=900/2000 objective=1.9197766121287676e-05 r=2.17884e-10/1.10671e-08 s=0.0196286/6.0305e-07 projection_inf=6.41977e-19 support=1116/12248
ADMM_ITER round=0/4 iteration=925/2000 objective=1.9197287850874968e-05 r=1.82898e-10/1.10671e-08 s=0.0215635/6.02873e-07 projection_inf=6.59198e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=950/2000 objective=1.9196808551921001e-05 r=1.84015e-10/1.10671e-08 s=0.0201624/6.02924e-07 projection_inf=7.04251e-19 support=1118/12248
ADMM_ITER round=0/4 iteration=975/2000 objective=1.9197022266622702e-05 r=1.69937e-10/1.10671e-08 s=0.0201446/6.0299e-07 projection_inf=6.25502e-19 support=1120/12248
ADMM_ITER round=0/4 iteration=1000/2000 objective=1.9196980247117781e-05 r=1.65758e-10/1.10671e-08 s=0.0194315/6.02972e-07 projection_inf=6.5064e-19 support=1118/12248
ADMM_ITER round=0/4 iteration=1025/2000 objective=1.919699551526181e-05 r=1.7733e-10/1.10671e-08 s=0.0167782/6.03009e-07 projection_inf=6.28242e-19 support=1115/12248
ADMM_ITER round=0/4 iteration=1050/2000 objective=1.9196990116957441e-05 r=1.6262e-10/1.10671e-08 s=0.0169362/6.03009e-07 projection_inf=7.15736e-19 support=1118/12248
ADMM_ITER round=0/4 iteration=1075/2000 objective=1.9196829438050676e-05 r=1.60245e-10/1.10671e-08 s=0.016107/6.03077e-07 projection_inf=6.35872e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=1100/2000 objective=1.9196880012794573e-05 r=1.55918e-10/1.10671e-08 s=0.0153392/6.03163e-07 projection_inf=6.77877e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=1125/2000 objective=1.9197033131470619e-05 r=1.35976e-10/1.10671e-08 s=0.0160644/6.03178e-07 projection_inf=6.23147e-19 support=1120/12248
ADMM_ITER round=0/4 iteration=1150/2000 objective=1.919725372101488e-05 r=1.4945e-10/1.10671e-08 s=0.0137148/6.03107e-07 projection_inf=6.51886e-19 support=1116/12248
ADMM_ITER round=0/4 iteration=1175/2000 objective=1.9197124794678063e-05 r=1.30129e-10/1.10671e-08 s=0.0145836/6.03022e-07 projection_inf=6.67544e-19 support=1111/12248
ADMM_ITER round=0/4 iteration=1200/2000 objective=1.9196930667039176e-05 r=1.17962e-10/1.10671e-08 s=0.014582/6.02996e-07 projection_inf=6.3989e-19 support=1113/12248
