timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 23:06:07.270, 21193, 95830, 0,134932
2026/09/02 23:06:22.365, 42381, 95830, 34,3798968
2026/09/02 23:06:37.436, 42381, 95830, 0,4135360
2026/09/02 23:06:52.511, 42381, 95830, 0,4257244
2026/09/02 23:07:07.587, 42381, 95830, 0,4358492
2026/09/02 23:07:22.657, 42381, 95830, 0,4456072
2026/09/02 23:07:37.722, 42381, 95830, 0,9281940
2026/09/02 23:07:52.785, 42381, 95830, 0,14514780
2026/09/02 23:08:07.853, 42381, 95830, 0,14571980
2026/09/02 23:08:22.971, 46381, 95830, 0,13880552
2026/09/02 23:08:38.050, 46381, 95830, 0,11268816
2026/09/02 23:08:53.120, 46381, 95830, 0,10016492
2026/09/02 23:09:08.187, 46381, 95830, 0,9222056
2026/09/02 23:09:23.258, 46381, 95830, 0,7639172
2026/09/02 23:09:38.335, 46381, 95830, 0,5187392
2026/09/02 23:09:53.408, 46381, 95830, 0,5285668
2026/09/02 23:10:08.476, 46381, 95830, 0,5378668
2026/09/02 23:10:23.561, 46381, 95830, 0,14017220
2026/09/02 23:10:38.673, 46381, 95830, 0,11109808
2026/09/02 23:10:53.757, 46381, 95830, 0,9728164
2026/09/02 23:11:08.828, 46381, 95830, 0,5565920
2026/09/02 23:11:23.903, 46381, 95830, 0,5671572
2026/09/02 23:11:38.975, 46381, 95830, 0,5775100
2026/09/02 23:11:54.053, 46381, 95830, 0,9385216
2026/09/02 23:12:09.167, 46381, 95830, 0,11210612
2026/09/02 23:12:24.261, 46381, 95830, 0,12444192
2026/09/02 23:12:39.374, 46381, 95830, 0,8060752
2026/09/02 23:12:54.447, 46381, 95830, 0,5877384
2026/09/02 23:13:09.527, 46381, 95830, 0,5968872
2026/09/02 23:13:24.604, 46381, 95830, 0,13434904
2026/09/02 23:13:39.678, 46381, 95830, 0,12963376
2026/09/02 23:13:54.752, 46381, 95830, 0,6182348
2026/09/02 23:14:09.825, 46381, 95830, 11,6398988
2026/09/02 23:14:24.898, 46381, 95830, 0,15070088
