timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 23:30:04.731, 17123, 81559, 0,75868
2026/09/02 23:30:19.777, 55362, 81559, 0,2471164
2026/09/02 23:30:34.811, 55362, 81559, 0,2335896
2026/09/02 23:30:49.895, 34243, 81559, 0,2588924
2026/09/02 23:31:04.933, 34243, 81559, 0,2739424
2026/09/02 23:31:19.969, 34243, 81559, 0,2460132
2026/09/02 23:31:35.003, 34243, 81559, 0,1659324
2026/09/02 23:31:50.036, 34243, 81559, 0,2215128
2026/09/02 23:32:05.072, 34243, 81559, 0,3507512
2026/09/02 23:32:20.106, 38243, 81559, 0,1844284
2026/09/02 23:32:35.144, 42243, 81559, 0,3178164
2026/09/02 23:32:50.178, 42243, 81559, 0,2016692
2026/09/02 23:33:05.215, 42243, 81559, 0,2070672
2026/09/02 23:33:20.253, 42243, 81559, 0,2137172
2026/09/02 23:33:36.225, 42243, 81559, 0,3772752
2026/09/02 23:33:51.355, 42243, 81559, 0,2263288
2026/09/02 23:34:07.368, 42243, 81559, 0,2359624
2026/09/02 23:34:22.405, 42243, 81559, 0,3744616
2026/09/02 23:34:37.443, 42243, 81559, 0,4121424
2026/09/02 23:34:52.476, 42243, 81559, 0,3736276
2026/09/02 23:35:07.511, 42243, 81559, 0,4701732
2026/09/02 23:35:22.546, 42243, 81559, 0,4588700
2026/09/02 23:35:37.587, 42243, 81559, 0,4611324
2026/09/02 23:35:52.621, 42243, 81559, 0,4372088
2026/09/02 23:36:07.655, 42243, 81559, 0,4314116
2026/09/02 23:36:22.691, 42243, 81559, 0,2807500
2026/09/02 23:36:37.728, 42245, 81559, 0,4382368
2026/09/02 23:36:52.765, 42247, 81559, 0,4133912
2026/09/02 23:37:07.800, 42247, 81559, 0,2780072
2026/09/02 23:37:22.835, 42247, 81559, 0,3989580
2026/09/02 23:37:37.869, 42247, 81559, 0,2950252
2026/09/02 23:37:52.902, 42247, 81559, 0,2970072
2026/09/02 23:38:07.935, 42247, 81559, 0,4531092
2026/09/02 23:38:22.972, 42247, 81559, 0,5110680
2026/09/02 23:38:38.008, 42247, 81559, 0,3136804
2026/09/02 23:38:53.147, 42247, 81559, 0,4462612
2026/09/02 23:39:08.419, 42247, 81559, 0,2930188
2026/09/02 23:39:23.456, 42247, 81559, 0,3604348
2026/09/02 23:39:38.494, 42247, 81559, 0,4820440
2026/09/02 23:39:53.527, 42247, 81559, 0,4306544
2026/09/02 23:40:08.565, 42247, 81559, 0,4766324
2026/09/02 23:40:23.602, 42247, 81559, 0,3268364
2026/09/02 23:40:38.637, 42247, 81559, 0,4469360
2026/09/02 23:40:53.673, 42247, 81559, 0,2980472
2026/09/02 23:41:08.711, 42247, 81559, 0,4017632
2026/09/02 23:41:23.745, 42247, 81559, 0,4859984
2026/09/02 23:41:38.793, 42247, 81559, 0,4651836
2026/09/02 23:41:53.825, 42247, 81559, 0,3233844
2026/09/02 23:42:08.861, 42247, 81559, 0,5097728
2026/09/02 23:42:23.897, 42247, 81559, 0,3891208
2026/09/02 23:42:38.933, 42247, 81559, 0,4782488
2026/09/02 23:42:53.983, 42247, 81559, 0,4892128
2026/09/02 23:43:09.028, 42247, 81559, 0,3352932
2026/09/02 23:43:24.068, 42247, 81559, 0,4773804
2026/09/02 23:43:39.105, 42247, 81559, 0,5164680
2026/09/02 23:43:54.141, 42247, 81559, 0,3989012
2026/09/02 23:44:09.176, 42247, 81559, 0,3609272
2026/09/02 23:44:24.210, 42247, 81559, 0,5135440
2026/09/02 23:44:39.244, 42247, 81559, 0,5381560
2026/09/02 23:44:54.281, 42247, 81559, 0,3631772
2026/09/02 23:45:09.317, 42247, 81559, 0,4908940
2026/09/02 23:45:24.355, 42247, 81559, 0,4448172
2026/09/02 23:45:39.395, 42247, 81559, 0,3985808
2026/09/02 23:45:54.431, 42247, 81559, 0,4676068
2026/09/02 23:46:09.466, 42247, 81559, 0,3979272
2026/09/02 23:46:24.501, 42247, 81559, 0,4289752
2026/09/02 23:46:39.536, 42247, 81559, 47,5561140
2026/09/02 23:46:54.572, 42247, 81559, 0,4331096
2026/09/02 23:47:09.607, 42247, 81559, 0,5485912
2026/09/02 23:47:24.645, 42247, 81559, 0,3952184
2026/09/02 23:47:39.679, 42247, 81559, 0,5605864
2026/09/02 23:47:54.715, 42247, 81559, 0,4060324
2026/09/02 23:48:09.751, 42247, 81559, 0,5413672
2026/09/02 23:48:24.786, 42247, 81559, 0,6111472
2026/09/02 23:48:39.822, 42247, 81559, 0,5114672
2026/09/02 23:48:54.858, 42247, 81559, 0,4307128
2026/09/02 23:49:09.893, 42247, 81559, 0,4370128
2026/09/02 23:49:24.928, 42247, 81559, 0,4978260
2026/09/02 23:49:39.964, 42247, 81559, 0,6198500
2026/09/02 23:49:55.000, 42247, 81559, 0,4198128
2026/09/02 23:50:10.036, 42247, 81559, 0,4267128
2026/09/02 23:50:25.071, 42247, 81559, 0,4315628
2026/09/02 23:50:40.104, 42247, 81559, 0,4387128
2026/09/02 23:50:55.138, 42247, 81559, 0,4868252
2026/09/02 23:51:10.172, 42247, 81559, 0,4495856
2026/09/02 23:51:25.207, 42247, 81559, 0,5457960
2026/09/02 23:51:40.243, 42247, 81559, 0,5937396
2026/09/02 23:51:55.396, 42247, 81559, 0,4335536
2026/09/02 23:52:10.509, 42247, 81559, 0,6067856
2026/09/02 23:52:25.548, 42247, 81559, 0,5420804
2026/09/02 23:52:40.583, 42247, 81559, 0,4577712
2026/09/02 23:52:55.620, 42247, 81559, 0,4549356
2026/09/02 23:53:10.656, 42247, 81559, 0,4582268
